model,scope,coin,fold,train_start,test_end,macro_f1,weighted_f1,accuracy,f1_not_bubble,f1_creation,f1_collapse
XGBoost,global,ALL,9,2020-08-01,2021-11-01,0.22618768477923476,0.33074586947570395,0.2826086956521739,0.1740976645435244,0.46473029045643155,0.039735099337748346
XGBoost,global,ALL,10,2020-11-01,2022-02-01,0.4648145625914659,0.5164453644382477,0.5561594202898551,0.6804733727810651,0.4434389140271493,0.27053140096618356
XGBoost,global,ALL,11,2021-02-01,2022-05-01,0.09061488673139158,0.27184466019417475,0.15730337078651685,0.27184466019417475,0.0,0.0
XGBoost,global,ALL,12,2021-05-01,2022-08-01,0.3069031591155485,0.46171363301028556,0.4329710144927536,0.46495726495726497,0.0,0.4557522123893805
XGBoost,global,ALL,13,2021-08-01,2022-11-01,0.11675428685261445,0.3240861185509438,0.19746376811594202,0.3257229832572298,0.024539877300613498,0.0
XGBoost,global,ALL,14,2021-11-01,2023-02-01,0.4455365826437716,0.8400077326573238,0.8007246376811594,0.8800880088008801,0.0,0.45652173913043476
XGBoost,global,ALL,15,2022-02-01,2023-05-01,0.49953139643861294,0.999062792877226,0.99812734082397,0.9990627928772259,0.0,0.0
XGBoost,global,ALL,16,2022-05-01,2023-08-01,0.5963436928702011,0.9811991627586573,0.9855072463768116,0.9926873857404022,0.0,0.2
XGBoost,global,ALL,17,2022-08-01,2023-11-01,0.4972677595628415,0.9837253504395344,0.9891304347826086,0.994535519125683,0.0,0.0
XGBoost,global,ALL,18,2022-11-01,2024-02-01,0.26048565121412803,0.5011517420097897,0.6413043478260869,0.7814569536423841,0.0,0.0
XGBoost,global,ALL,19,2023-02-01,2024-05-01,0.20141692836847613,0.23950014954389115,0.39814814814814814,0.5625841184387618,0.041666666666666664,0.0
XGBoost,global,ALL,20,2023-05-01,2024-08-01,0.5111333032665422,0.794293215643322,0.7880434782608695,0.8740416210295728,0.4411764705882353,0.21818181818181817
XGBoost,global,ALL,21,2023-08-01,2024-11-01,1.0,1.0,1.0,1.0,0.0,0.0
